1	which patients had cardiopulmonary resuscitation, not otherwise specified?
2	find the  patients admitted in emergency who had the procedure titled ins nondrug elut cor st.
3	specify the  patients admitted to emergency who had icd9 code 5091
4	give the  patients whose diagnosis long title is other and unspecified coagulation defects.
5	which of the patients tested for ascites were born before 2184?
6	provide the  patients who were admitted to the hospital before the year 2148 and whose discharge location is disch-tran to psych hosp
7	provide the  patients less than 48 years who are diagnosed with vascular hamartomas.
8	find the  patients diagnosed with unspecified congenital anomaly of heart whose admission location is phys referral/normal deli.
9	which patients aged below 76 were diagnosed with adv eff cardiovasc nec?
10	find the  patients who died in or before the year 2186 and their drug code was mom301.
11	which patients who had procedure icd9 code 3722 died before discharge?
12	the  patients whose admission type is newborn and lab test name is phosphate.
13	give the  patients that died and had a primary disease of colangitis.
14	give me the  patients prescribed base drugs with diagnosis of antifungal antibiotics causing adverse effects.
15	which patients are american indian/alaska natives with a lymphocytes lab test done?
16	which patients are diagnosed with icd9 code 7454 and tested under category chemisty in lab?
17	which patients had umbilical vein catheterization and csf lab test?
18	the  patients who left the hospital against medical advice.
19	look for the  patients admitted before 2170 who have been diagnosed with delirium due to conditions classified elsewhere.
20	which patients born before year 2098 had a tranisent ischemic attack?
21	which patients stayed in hospital for more than 27 days and got diagnosed for intermed coronary synd?
22	which female patients remained admitted in the hospital for more than 23 days?
23	which of the patients admitted in the year less than 2156 had item id 51419?
24	get me the  patients with cellulitis and abscess of leg except foot diagnoses who are on a main drug type prescription.
25	give the  patients whose admission type is emergency and diagnosis long title is glucocorticoid deficiency.
26	which patients are diagnosed with primary disease of aortic valve insuffiency/aortic valve replacement /sda and are born in or before 2170?
27	provide the  patients born before 2168 who take drug via buccal route.
28	provide the  patients whose admission type is emergency and diagnoses is other pulmonary insufficiency, not elsewhere classfied.
29	which patients are diagnosed with acute nephritis nec and treated with iv drug route?
30	which patients who belong to the religion christian scientist had lab test named mchc?
31	give me the  widow patients who were born before the year 1846.
32	which patients are discharged to home health care and with procedure sm bowel exteriorization?
33	among patients diagnosed with rheumatic heart failure, calculate the total  those born before the year 2168.
34	the  patients who are alive and have diagnosis icd9 code v4986.
35	give  the  patients whose primary disease is coronary artery disease/coronary artery bypass graft/sda and who were aged below 89 years.
36	which patients have prescriptions for protamine sulfate medication?
37	which dead/expired discharged patients were admitted before the year 2145?
38	which are the  patients with private health insurance who had a urea nitrogen urine lab test?
39	which patients have prescription for sodium polystyrene sulfonate?
40	which patients born before the year 2052 had guillain barre as the primary disease?
41	find the  patients with abdominal pain and drug route po/ng.
42	which patients posses private insurance and are diagnosed with icd9 code 7140?
43	the  patients who had blood tests done and undergone the procedure angiocardiography of right heart structures.
44	find out the  patients with lab test item id 50994.
45	the  patients diagnosed with angioneurotic edema who had abnormal lab test status.
46	bring the  patients with hyperglycemia hyponatremia as their primary disease.
47	provide the  patients whose primary disease is femoral artery thrombosis and who were admitted to the hospital before year 2182?
48	which patients with diagnoses icd9 code 6140 have abnormal lab test status?
49	provide the  patients with delta lab test status who have been diagnosed with pneumonitis due to inhalation of food or vomitus.
50	the  patients with procedure icd9 code 17 who were admitted before 2145.
51	tell me the  married patients who have been diagnosed with hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage i through stage iv, or unspecified.
52	which are the  patients whose age is below 71 and died in or before 2132?
53	which patients were discharged to home after skin closure nec?
54	which patients have a government insurance policy?
55	report the  patients with a diagnoses icd9 code 4240 who died on or before 2155.
56	which patients were diagnosed with  bacterial pneumonia nos and the drug type is main?
57	which dead patients had acidosis primary disease?
58	which  patients under the procedure icd9 code 5783 were discharged at home?
59	which patients have aztreonam drug prescription?
60	which male patients had the procedure titled endosc destr stomach les?
61	which patients are diagnosed with primary disease complete heart block and treated with main drug type?
62	which patients who were diagnosed with systemic inflammatory response syndrome due to noninfectious process without acute organ dysfunction had a lab test category of blood gas?
63	which patients have stayed in the hospital for more than 16 days with acute kidney failure nos?
64	which patients were admitted to the hospital before year 2152 with the diagnosis short title nb obs genetc/metabl cnd?
65	the  patients whose admission type is emergency and drug route is buccal.
66	which  white russian patients had a lab test named monocytes?
67	out of total  patients who had a lab test for pleural fluid, which of them were born before 2089?
68	which patients have diagnoses icd9 code 34831?
69	which patients have the diagnoses of calculus of bile duct without mention of cholecystitis, with obstruction?
70	get me the  christian scientist religious background patients who were admitted in hospital before 2190.
71	which patients who left against medical advice underwent drug detoxification?
72	find out the  patients with stemi primary disese who were admitted in hospital before 2155.
73	out of the total  patients with percutaneous abdominal drainage, which of them were aged below 61?
74	which patients are diagnosed with primary disease liver transplant and suggested with drug route po?
75	tell me the  patients admitted before 2179 who have buccal route of drug administration.
76	look for the black/african american patients born before 2089.
77	provide me the  patients taking base type drug prescriptions who have hip pressure ulcer.
78	give me the nuber of patients with diagnoses icd9 code e8788.
79	find the  patients categorized under hematology lab test who have been diagnosed with seroma complicating a procedure.
80	which patients language is spanish and admission location is phys referral/normal deli?
81	get me the  patients less than 62 years who have prescription for clobetasol propionate 0.05% ointment.
82	which patients were admitted in emergency for brain mass;intracranial hemorrhage?
83	which patients of white-russian ethnicity are born before 2107?
84	which patients are below 30 years of age and tested with lab test abnormal status?
85	which patients are with death status 0 and with procedure aortocor bypas-2-cor art?
86	which are the  patients who have drug code vori200?
87	which patients diagnosed with arthropathy unspecified and site unspecified had an urobilinogen lab test?
88	which patients were born before year 2146 with the procedure icd9 code 9755?
89	which patients less than 63 years of age have acidosis?
90	provide the  patients admitted in urgent care who were born before 2074.
91	provide the  patients that survived and had the procedure with a long title of closure of skin and subcutaneous tissue of other sites.
92	the  patients less than 70 years who prefer haitian language.
93	give me the  patients who have diagnoses icd9 code 5570 and are less than 77 years.
94	specify the  patients who had a family history of other specified malignant neoplasm that were treated with base drug
95	which patients are born before 2053 and tested in lab with item id 51383?
96	provide the  patients whose diagnosis short title is abn react-renal dialysis and drug route is iv
97	which male patients had the procedure titled replace small bowel tube?
98	provide the  dead patients who were less than 43 years of age.
99	which are the  patients whose drug code is eryt250 and lab test fluid is cerebrospinal fliuid (csf)?
100	which are the  patients with white ethnicity and diagnosed for panic disorder without agoraphobia?
101	among patients tested for c4 by lab, which of them have an unspecified death status?
102	let me know the  patients who have procedure icd9 code 8968.
103	the  patients that survived and had a procedure long title of laparoscopic lysis of peritoneal adhesions.
104	which patients are diagnosed with primary disease coronary artery disease or coronary artery bypass graft myomectomy/sda and tested with blood in lab?
105	which are the  patients who prefer spanish language?
106	find the  patients who were transferred within this facility and were born before the year 2150.
107	which are the  patients admitted before 2114 who have lab test item id 50806?
108	which are the  patients categorized under chemistry lab test who had open reduction of femur fracture with internal fixation?
109	give the  patients whose admission location is phys referral/normal deli and lab test name is lactate dehydrogenase, pleural.
110	which patients had the diagnosis long title hemochromatosis due to repeated red blood cell transfusions?
111	show me the  patients who had elective hospital admission and were born before 2052.
112	which  patients with death status 1 had drug code ns100cg?
113	which are the  patients with admission location as transfer from hosp/extram and were admitted before the year 2131?
114	among the patients who had a closed endoscopic biopsy of bronchus, which of them stayed at the hospital for more than 1 day?
115	which patients aged below 64 years had the procedure short title temporary tracheostomy?
116	the  patients with brain mass intracranial hemorrhage as their primary disease who were hospitalized for more than 2 days.
117	which patients are diagnosed with abn react-anastom/graft and tested with abnormal status in lab?
118	the  patients admitted before 2200 who had endoscopic removal of stone(s) from biliary tract.
119	which males had abnormal coagulation profile as the diagnosis short title?
120	which of the patients with sigmoid diverticulitis colovestical fistula/sda as their primary disease had a hospital stay for more than 26 days?
121	provide the  patients taking medication via pr route who have been diagnosed with opioid dependence-unspecified.
122	which patients are single and diagnosed with syncope and collapse?
123	give the  patients under the age of 56 whose drug name is insulin human regular.
124	which patients have anemia in chronic kidney disease as their diagnosis long title?
125	give the  patients whose drug code is posa200l and lab test fluid is urine?
126	which patients are diagnosed with the primary disease st elevated myocardial infarction or cardiac cath and had the lab test for abnormal status?
127	the  patients taking lorazepam medication who were hospitalized for more than 29 days.
128	which of the private patients had hemodialysis?
129	which patients are younger than 74 years of age and lab tested with wbc pleural?
